sbytes_all,Sjit_all,ct_state_ttl_all,ct_dst_src_ltm_all,ct_dst_src_ltm_dns,dttl_ftp,Dintpkt_ftp,sbytes_http,sloss_http,Dintpkt_http,Djit_smtp
15358380.0,49276073.0,25.0,8839.0,1077.0,3161.0,14167.0,1016380.0,1190.0,209323.0,68080
16899168.0,4305855.0,38.0,7218.0,907.0,2987.0,1568.0,913982.0,866.0,15952.0,2528
16184735.0,5978934.0,176.0,7462.0,981.0,3248.0,2279.0,1394282.0,1062.0,17423.0,1563
22592315.0,6728767.0,240.0,11751.0,1301.0,4887.0,4368.0,1768535.0,1459.0,21235.0,1699
20796474.0,12959693.0,265.0,12474.0,1273.0,2610.0,3296.0,1800924.0,1422.0,21273.0,1874
19234404.0,7696839.0,298.0,7251.0,987.0,3647.0,2297.0,1833276.0,1171.0,22975.0,2790
22961520.0,9666061.0,1732.0,8712.0,1073.0,3694.0,2427.0,1387634.0,1163.0,23024.0,5049
18662774.0,11559712.0,621.0,6999.0,1008.0,1943.0,1074.0,1666984.0,1289.0,25176.0,2780
18097996.0,5137756.0,43.0,6301.0,1006.0,2030.0,2017.0,1835668.0,1227.0,23438.0,2392
18224383.0,9437768.0,98.0,7001.0,1095.0,3335.0,4919.0,1527821.0,1156.0,22511.0,5792
20113253.0,5389907.0,20.0,6312.0,1084.0,2176.0,1141.0,1689106.0,1272.0,24313.0,3166
19636636.0,5652908.0,37.0,7162.0,1140.0,3335.0,3588.0,1644080.0,1308.0,25057.0,3193
23187812.0,6406601.0,39.0,7897.0,1240.0,2987.0,1794.0,1547150.0,1348.0,25704.0,3799
22072352.0,5954009.0,72.0,8537.0,1234.0,2755.0,1819.0,2070488.0,1415.0,27301.0,3019
18836202.0,5099099.0,354.0,9834.0,1134.0,2988.0,2243.0,1382796.0,1139.0,20196.0,4214
20024336.0,6216916.0,48.0,8155.0,1213.0,3364.0,4183.0,1671226.0,1311.0,26376.0,5385
22769164.0,11602807.0,239.0,7624.0,1205.0,4031.0,6701.0,1957296.0,1320.0,26019.0,5428
20692993.0,5452438.0,72.0,7697.0,2514.0,1914.0,742.0,1589514.0,1229.0,24889.0,4756
17964612.0,17236662.0,214.0,8632.0,3065.0,2349.0,1156.0,1127466.0,964.0,19092.0,2163
17183683.0,4410810.0,60.0,7971.0,2566.0,4655.0,2037.0,1785664.0,1167.0,22561.0,2385
19678324.0,10586927.0,146.0,7794.0,1958.0,3132.0,2460.0,1757028.0,1271.0,35033.0,3215
21358290.0,7590877.0,157.0,8024.0,1853.0,3248.0,3677.0,1701968.0,1225.0,24097.0,4629
19094266.0,12517623.0,190.0,7296.0,1733.0,2668.0,1634.0,1134391.0,1051.0,20713.0,2512
18906980.0,7134185.0,649.0,8181.0,2659.0,2262.0,1582.0,1384637.0,1210.0,24309.0,4276
22764315.0,11192868.0,899.0,9744.0,3622.0,3161.0,3140.0,1577749.0,1231.0,22492.0,4103
22309516.0,5732585.0,31.0,9680.0,2892.0,957.0,546.0,749206.0,477.0,8897.0,1416
17592962.0,4556128.0,86.0,8679.0,2350.0,29.0,38.0,11788.0,21.0,448.0,21
16704836.0,4795267.0,39.0,8018.0,1636.0,29.0,71.0,9792.0,18.0,370.0,147
17682991.0,5168919.0,112.0,7491.0,1075.0,29.0,89.0,1684.0,3.0,61.0,27
16759558.0,7110105.0,1082.0,7748.0,623.0,1566.0,733.0,6424.0,12.0,236.0,28
19181162.0,7478508.0,1827.0,7917.0,307.0,3277.0,2984.0,24462.0,11.0,191.0,2
19283719.0,6955427.0,314.0,6518.0,301.0,3451.0,3115.0,9206.0,17.0,312.0,70
17538528.0,4725701.0,168.0,7461.0,1126.0,3249.0,3415.0,26790.0,17.0,317.0,82
17096168.0,5244721.0,150.0,7671.0,849.0,2088.0,1032.0,23526.0,11.0,199.0,1412
17937614.0,4509028.0,38.0,6279.0,20.0,2320.0,2211.0,14428.0,27.0,548.0,3305
19095168.0,5414264.0,94.0,6712.0,45.0,2900.0,1802.0,28474.0,20.0,406.0,5784
20657575.0,5301139.0,39.0,7708.0,31.0,3163.0,3481.0,11832.0,22.0,519.0,3685
22930100.0,5098443.0,83.0,8281.0,24.0,3250.0,3823.0,48380.0,26.0,399.0,3119
23923390.0,6435345.0,24.0,7613.0,463.0,1914.0,865.0,789602.0,456.0,8458.0,4129
19243700.0,5132846.0,32.0,6984.0,1102.0,2668.0,2133.0,1581180.0,1174.0,22208.0,3172
18917632.0,5597557.0,24.0,6969.0,1166.0,2204.0,1323.0,1699465.0,1198.0,23319.0,6342
19121233.0,4607497.0,24.0,10850.0,1200.0,2523.0,1643.0,1195364.0,1147.0,16683.0,6246
19236195.0,4930676.0,24.0,12486.0,1281.0,2639.0,3166.0,1474406.0,1418.0,20565.0,3606
18342614.0,4514268.0,16.0,10394.0,1176.0,2668.0,3213.0,1398794.0,1271.0,21420.0,2239
20713030.0,5062494.0,24.0,9880.0,1219.0,2349.0,2051.0,1848822.0,1289.0,22710.0,2417
21060432.0,6271966.0,32.0,6925.0,1282.0,3915.0,7638.0,1892343.0,1465.0,30660.0,2743
22926373.0,6981115.0,24.0,6980.0,1214.0,2697.0,1628.0,1792224.0,1340.0,27226.0,4230
18840930.0,4790685.0,24.0,6431.0,967.0,2842.0,2159.0,1567220.0,1090.0,20478.0,6190
17050200.0,5022934.0,24.0,6444.0,946.0,2436.0,1281.0,1082084.0,1030.0,20540.0,3137
18164524.0,4866962.0,24.0,6459.0,951.0,2813.0,6889.0,1406630.0,1110.0,20557.0,3306
22135028.0,5084842.0,16.0,6969.0,1035.0,2987.0,2154.0,1403308.0,1096.0,21511.0,4685
19066701.0,5307803.0,32.0,6832.0,1056.0,3451.0,3415.0,1106060.0,1065.0,20477.0,4521
25055721.0,7147623.0,24.0,6629.0,1045.0,2175.0,1787.0,1020140.0,1052.0,20673.0,3491
17887696.0,5160225.0,24.0,6371.0,1078.0,2494.0,2094.0,1856876.0,1236.0,24004.0,2449
20114959.0,6882300.0,24.0,6828.0,1114.0,2291.0,2134.0,1440188.0,1133.0,21894.0,3732
19646095.0,5447697.0,24.0,6555.0,1084.0,2901.0,3348.0,1394615.0,1186.0,23762.0,7557
20528182.0,5527329.0,16.0,6761.0,1079.0,2958.0,1929.0,1284563.0,1161.0,23545.0,2418
18362519.0,5055220.0,24.0,6173.0,1023.0,2407.0,1499.0,1350842.0,1118.0,21294.0,2006
17478578.0,5265267.0,24.0,6180.0,1044.0,2871.0,3274.0,1381918.0,1138.0,22712.0,1780
22028016.0,6913486.0,24.0,6835.0,1178.0,2755.0,2427.0,1708289.0,1321.0,25650.0,2324
23243608.0,6433206.0,16.0,7460.0,1141.0,2726.0,1770.0,1933166.0,1218.0,25222.0,6869
17701407.0,4618108.0,24.0,6293.0,923.0,3190.0,3900.0,1308741.0,1086.0,20853.0,4433
16033294.0,3921580.0,24.0,6182.0,844.0,3451.0,2395.0,1261234.0,909.0,17233.0,2379
16017680.0,4277920.0,24.0,6143.0,826.0,2552.0,1292.0,1351094.0,995.0,18233.0,2847
17253483.0,5067726.0,24.0,6232.0,964.0,2552.0,1563.0,1172361.0,989.0,19004.0,2767
16892153.0,4558455.0,24.0,6127.0,943.0,2552.0,1599.0,1277881.0,1011.0,19466.0,4140
20348490.0,4655365.0,16.0,6431.0,992.0,2407.0,2962.0,1222710.0,1081.0,21050.0,4554
18299260.0,4480747.0,24.0,6895.0,924.0,2262.0,1617.0,1075718.0,998.0,19066.0,1941
18229278.0,5019127.0,24.0,6566.0,933.0,2958.0,2566.0,1339212.0,1034.0,20497.0,2713
17915726.0,4816393.0,32.0,6644.0,1009.0,2900.0,2355.0,1881317.0,1183.0,22645.0,2131
19569685.0,5610481.0,16.0,6894.0,1067.0,4205.0,7183.0,1208725.0,1114.0,21354.0,4570
20056018.0,4667720.0,24.0,6914.0,981.0,2465.0,1933.0,1258398.0,947.0,17664.0,1981
16955059.0,4322402.0,24.0,6705.0,872.0,2523.0,1622.0,1037568.0,997.0,19002.0,2220
18597244.0,4420746.0,24.0,6915.0,1027.0,2233.0,1274.0,1414980.0,1117.0,21333.0,4207
16574276.0,4171179.0,24.0,6611.0,934.0,2378.0,2112.0,1362418.0,1043.0,18815.0,3500
17815076.0,4936293.0,32.0,6786.0,942.0,4031.0,4357.0,1012938.0,971.0,17870.0,3269
16884322.0,3715144.0,24.0,6615.0,906.0,3596.0,5581.0,1222491.0,974.0,18177.0,3902
18166011.0,4570775.0,24.0,6611.0,973.0,3422.0,4082.0,1454815.0,1033.0,19211.0,3196
19359358.0,5415135.0,24.0,6798.0,1037.0,2755.0,2953.0,1104826.0,1043.0,19718.0,3249
17398230.0,5596401.0,24.0,7016.0,965.0,2146.0,937.0,1194997.0,952.0,17567.0,5677
17531240.0,5099611.0,24.0,6828.0,996.0,2233.0,1466.0,1333557.0,1091.0,21089.0,9919
19472080.0,5143331.0,32.0,6589.0,1035.0,3335.0,3062.0,1359895.0,1212.0,23087.0,3033
22254548.0,6310628.0,24.0,6597.0,1084.0,15022.0,22838.0,1948026.0,1258.0,23682.0,3289
20448886.0,5985206.0,24.0,6784.0,1156.0,29580.0,69570.0,2088212.0,1400.0,26903.0,2534
22314516.0,6020722.0,24.0,7401.0,1196.0,32219.0,69726.0,1579839.0,1252.0,23548.0,5114
20396392.0,6758848.0,24.0,7381.0,1142.0,16158.0,17403.0,1312167.0,1164.0,22208.0,3412
20146933.0,6336412.0,24.0,7433.0,1151.0,16066.0,19792.0,1647742.0,1243.0,23349.0,2992
17488750.0,4956309.0,32.0,7395.0,1017.0,2552.0,2141.0,1578128.0,1175.0,21470.0,4035
17442401.0,4198530.0,24.0,6383.0,962.0,2030.0,1013.0,1356674.0,1131.0,21505.0,5363
18741141.0,4626821.0,16.0,6337.0,960.0,3654.0,3989.0,1223799.0,1081.0,21307.0,3162
16529720.0,4613981.0,24.0,6490.0,968.0,4205.0,5716.0,1446359.0,1060.0,19972.0,7801
38692439.0,9904172.0,24.0,24017.0,2974.0,3219.0,2659.0,1272224.0,1007.0,18856.0,2192
94303736.0,33928904.0,32.0,89178.0,7675.0,3712.0,6536.0,1379620.0,1138.0,22272.0,3682
144640764.0,59173194.0,32.0,108601.0,5552.0,2204.0,1531.0,1540118.0,1178.0,22815.0,3550
119430037.0,55876743.0,24.0,96288.0,2600.0,2960.0,1972.0,1619059.0,1211.0,41360.0,7128
99998140.0,27137344.0,32.0,90483.0,2517.0,2871.0,2266.0,1739240.0,1122.0,19686.0,2624
34101177.0,7912240.0,24.0,21524.0,960.0,2959.0,2670.0,1737026.0,1116.0,20833.0,3706
18360027.0,4886144.0,24.0,6380.0,1048.0,2494.0,1123.0,2001726.0,1294.0,25465.0,2935
20419622.0,5980855.0,24.0,7027.0,1087.0,2900.0,1582.0,1476672.0,1195.0,22351.0,4695
20085962.0,5934939.0,24.0,8034.0,1094.0,2523.0,1477.0,1396824.0,1135.0,21432.0,4150
19802731.0,6121376.0,24.0,7143.0,1130.0,2436.0,2203.0,1795306.0,1241.0,23838.0,3163
19483030.0,6247170.0,24.0,7021.0,1071.0,2233.0,1270.0,1347342.0,1095.0,20353.0,2386
18874828.0,4816023.0,24.0,6486.0,943.0,2668.0,1743.0,1682298.0,1119.0,20965.0,1618
20031563.0,4775702.0,24.0,6890.0,962.0,2755.0,1749.0,1414469.0,1044.0,19165.0,1752
18124045.0,4801393.0,24.0,6889.0,1023.0,2407.0,1875.0,1846946.0,1143.0,21655.0,1940
21804142.0,5745664.0,32.0,6982.0,1068.0,3074.0,3553.0,1434600.0,1124.0,21534.0,2617
19039748.0,4690721.0,24.0,6519.0,1007.0,2871.0,2675.0,1569170.0,1157.0,22595.0,1859
16400273.0,4075639.0,24.0,6807.0,891.0,2320.0,1204.0,1209956.0,967.0,17658.0,3201
17373083.0,3996170.0,24.0,6474.0,882.0,2697.0,2831.0,1455477.0,1023.0,18430.0,1914
16598305.0,4370346.0,8.0,8474.0,1030.0,2726.0,2248.0,1320451.0,1140.0,18390.0,3324
21536404.0,5069790.0,24.0,11599.0,1173.0,2958.0,1903.0,1118446.0,1276.0,18383.0,3800
18694564.0,6052463.0,32.0,12244.0,1268.0,2204.0,1159.0,1666552.0,1406.0,21246.0,1964
19576233.0,5461925.0,24.0,8383.0,1117.0,3480.0,4150.0,1581445.0,1147.0,19728.0,2749
18562257.0,4612019.0,24.0,7119.0,1015.0,3770.0,5265.0,1200955.0,1103.0,20478.0,2100
19455032.0,5377761.0,16.0,6935.0,1000.0,3278.0,3266.0,1358350.0,1114.0,20706.0,4814
17999916.0,4960612.0,24.0,7363.0,1002.0,3364.0,4542.0,1279948.0,1145.0,21741.0,3308
18335490.0,4354111.0,16.0,6437.0,809.0,2291.0,1058.0,1140836.0,915.0,16755.0,3927
16646162.0,4471678.0,32.0,6394.0,918.0,3770.0,4906.0,1528096.0,1055.0,19575.0,4968
17230842.0,4550147.0,24.0,6994.0,1007.0,2639.0,1765.0,1562700.0,1102.0,21869.0,3328
19186954.0,5408214.0,24.0,6883.0,1001.0,2610.0,2684.0,1228674.0,1064.0,19892.0,3066
18737487.0,5031471.0,24.0,6599.0,1067.0,2958.0,3478.0,1973302.0,1368.0,27779.0,2994
21284418.0,6446358.0,24.0,6942.0,1159.0,2262.0,1086.0,1595686.0,1215.0,23011.0,2967
21502418.0,5993511.0,16.0,6734.0,1168.0,3075.0,2517.0,1416850.0,1238.0,25459.0,6384
24261475.0,7003260.0,32.0,6662.0,1085.0,2262.0,1172.0,1613603.0,1187.0,23964.0,3870
21087358.0,6966383.0,24.0,7862.0,1237.0,3480.0,5926.0,1709582.0,1353.0,25677.0,3535
20141830.0,4781427.0,24.0,7825.0,1105.0,2784.0,2620.0,1570922.0,1213.0,21548.0,2465
19104857.0,5414071.0,24.0,7581.0,1121.0,3364.0,2769.0,1314556.0,1118.0,21355.0,2390
17921308.0,5372525.0,16.0,7007.0,1039.0,3076.0,6723.0,1632894.0,1166.0,21418.0,2241
19449921.0,6315699.0,24.0,6820.0,1034.0,3103.0,2494.0,1442938.0,1213.0,24135.0,3731
18098810.0,5421489.0,24.0,6628.0,1131.0,1885.0,959.0,1596390.0,1198.0,23574.0,2690
18619890.0,5977579.0,24.0,6665.0,1060.0,3103.0,3742.0,1780496.0,1196.0,23987.0,4356
19035072.0,5211749.0,24.0,6273.0,1007.0,2146.0,1254.0,1224566.0,1050.0,21111.0,5435
19139513.0,4872747.0,24.0,6412.0,1052.0,2088.0,1151.0,2136153.0,1340.0,26625.0,2431
20066800.0,6061699.0,16.0,7252.0,1097.0,1104.0,581.0,1281442.0,1033.0,18008.0,1651
19743956.0,4820080.0,24.0,7166.0,987.0,319.0,171.0,1069622.0,1054.0,20191.0,2353
19916988.0,5504267.0,32.0,6818.0,1185.0,2900.0,1382.0,1678674.0,1401.0,28622.0,3410
29470719.0,7381187.0,24.0,7014.0,1213.0,2726.0,1620.0,1596716.0,1315.0,27275.0,3307
22930635.0,5232883.0,24.0,10368.0,1252.0,2494.0,1461.0,1477684.0,1400.0,22930.0,1135
17335088.0,4207740.0,24.0,11181.0,1152.0,2233.0,1311.0,1498170.0,1252.0,18205.0,2
18359410.0,4569928.0,24.0,11485.0,1223.0,3480.0,2273.0,1329918.0,1208.0,17337.0,55
18383046.0,4289360.0,24.0,10765.0,1087.0,2813.0,1846.0,1292376.0,1221.0,19824.0,3
19721464.0,5595331.0,24.0,9408.0,1208.0,2320.0,1332.0,1437660.0,1283.0,21243.0,32
11353306.0,2727651.0,0.0,5851.0,368.0,2146.0,1418.0,359016.0,413.0,6911.0,1540
21494826.0,5555172.0,24.0,6645.0,5.0,2784.0,2369.0,43184.0,19.0,399.0,2543
20278122.0,5823263.0,24.0,6990.0,53.0,3132.0,2790.0,14844.0,27.0,714.0,2745
20029692.0,5624631.0,16.0,6544.0,59.0,2697.0,1480.0,101498.0,22.0,283.0,3493
18489472.0,4849223.0,24.0,6448.0,43.0,2494.0,2418.0,23702.0,14.0,279.0,2630
21375989.0,6121194.0,24.0,6847.0,51.0,2987.0,3391.0,834386.0,699.0,13766.0,6153
17483982.0,5034757.0,24.0,6378.0,654.0,1740.0,1198.0,1553074.0,1088.0,20480.0,4448
17461080.0,4321748.0,32.0,6851.0,982.0,3335.0,4650.0,1434264.0,1089.0,19542.0,3141
19140724.0,4720421.0,24.0,6699.0,993.0,3103.0,3593.0,1175644.0,1045.0,19547.0,5065
17122987.0,4221353.0,24.0,6611.0,1009.0,2320.0,996.0,979422.0,993.0,18952.0,2399
22079257.0,7575168.0,24.0,7341.0,919.0,2900.0,2083.0,1716832.0,1444.0,28601.0,2840
21170710.0,6417607.0,24.0,7173.0,1259.0,2697.0,3573.0,1688302.0,1393.0,27288.0,3447
20064916.0,5718473.0,24.0,7082.0,1229.0,2204.0,1944.0,1620876.0,1244.0,24950.0,2721
16813653.0,4941415.0,32.0,6558.0,1148.0,3886.0,2878.0,1470725.0,1018.0,18559.0,5577
15604756.0,4395082.0,16.0,5742.0,898.0,2378.0,1562.0,1314394.0,982.0,18714.0,1641
18250452.0,5420602.0,24.0,6673.0,779.0,3336.0,2692.0,1564470.0,1194.0,23835.0,2706
18394126.0,5424256.0,24.0,8257.0,1086.0,2929.0,1805.0,1794404.0,1318.0,23069.0,4457
19075884.0,5216170.0,24.0,9392.0,1204.0,1885.0,1097.0,1551650.0,1340.0,22578.0,4529
17144256.0,3924599.0,8.0,10608.0,1156.0,3828.0,8021.0,1059754.0,1165.0,17647.0,2551
15981080.0,3959674.0,32.0,11014.0,1127.0,3045.0,3149.0,979128.0,1090.0,16321.0,2198
15861378.0,4884409.0,16.0,10431.0,1060.0,2842.0,2386.0,1188438.0,1192.0,19112.0,2710
19948164.0,5879510.0,24.0,6879.0,1031.0,2639.0,1915.0,1786368.0,1291.0,25585.0,2838
22113868.0,5949647.0,24.0,7663.0,1229.0,2668.0,1991.0,1556312.0,1308.0,24479.0,2673
18496227.0,5294468.0,24.0,8275.0,1191.0,1972.0,968.0,1471819.0,1257.0,23127.0,2772
18128368.0,5128080.0,24.0,8284.0,1121.0,2581.0,2326.0,1308847.0,1174.0,21155.0,2779
17961692.0,4685381.0,32.0,7218.0,1093.0,2871.0,1990.0,1560686.0,1155.0,20100.0,4664
18567900.0,4859346.0,24.0,7623.0,1013.0,3625.0,4175.0,1190914.0,1002.0,17789.0,2538
19429702.0,6600656.0,24.0,7821.0,994.0,2842.0,2005.0,1434336.0,1242.0,22892.0,2143
18927618.0,5095989.0,24.0,7520.0,1138.0,2146.0,1030.0,1405608.0,1176.0,22170.0,2839
19382394.0,5397270.0,16.0,7602.0,1045.0,1885.0,1255.0,1796535.0,1322.0,26426.0,3071
20087032.0,4897413.0,24.0,7376.0,1135.0,2873.0,2216.0,1362264.0,1165.0,21669.0,2101
18377126.0,5023797.0,32.0,6386.0,1095.0,2465.0,1696.0,1800634.0,1294.0,25258.0,2361
17583790.0,5179370.0,24.0,6583.0,1023.0,2407.0,2924.0,1305458.0,1147.0,21335.0,2743
17274758.0,4172479.0,24.0,7593.0,999.0,1914.0,846.0,965817.0,978.0,17285.0,3484
23289774.0,4474278.0,16.0,7877.0,1022.0,2030.0,962.0,1123086.0,1009.0,17990.0,2722
17024116.0,4643192.0,24.0,6821.0,1032.0,3161.0,3018.0,1417298.0,1050.0,19196.0,1814
15902666.0,3897775.0,16.0,6691.0,925.0,2146.0,1032.0,1421086.0,1057.0,19484.0,2151
17235236.0,4577246.0,32.0,6651.0,929.0,3190.0,1800.0,1658152.0,1198.0,22231.0,1669
20688975.0,4669287.0,24.0,6683.0,983.0,3074.0,3634.0,1249641.0,1104.0,20994.0,2700
19650463.0,4847613.0,24.0,7766.0,1017.0,2581.0,1691.0,1558711.0,1261.0,19638.0,3217
18051206.0,4175070.0,24.0,19203.0,1181.0,3074.0,2935.0,1263964.0,1527.0,14584.0,3083
18591210.0,6386996.0,24.0,20441.0,1545.0,3335.0,5137.0,1559250.0,1697.0,17391.0,4450
18247184.0,4319898.0,16.0,19902.0,1554.0,3364.0,3423.0,1935972.0,1734.0,18176.0,2632
18643264.0,4424274.0,32.0,9576.0,1564.0,2523.0,1455.0,1516203.0,1095.0,19342.0,2448
19578402.0,5323947.0,24.0,7363.0,1119.0,3190.0,2394.0,1759308.0,1318.0,25364.0,3748
19745892.0,5446532.0,24.0,7656.0,1129.0,2175.0,2169.0,1753406.0,1341.0,25366.0,3266
20838482.0,6626002.0,24.0,7695.0,1209.0,2987.0,1843.0,1596874.0,1293.0,24506.0,4353
17960414.0,4991631.0,24.0,7647.0,1200.0,2987.0,4624.0,1492628.0,1205.0,21844.0,2453
18555011.0,5580283.0,24.0,7887.0,1057.0,2465.0,1730.0,1275028.0,1124.0,20099.0,2979
21585896.0,7253226.0,32.0,7036.0,1134.0,3161.0,3645.0,2094162.0,1366.0,27821.0,2141
22284924.0,7306984.0,24.0,7221.0,1199.0,1856.0,798.0,1377658.0,1371.0,28275.0,2204
21709715.0,6089490.0,16.0,7659.0,1135.0,2842.0,3027.0,1917724.0,1445.0,27871.0,3146
18214248.0,5350180.0,16.0,7800.0,1248.0,2958.0,2657.0,1282764.0,1141.0,20524.0,2828
17652228.0,5992375.0,24.0,6638.0,1094.0,3190.0,2457.0,1773562.0,1147.0,21022.0,2247
17452934.0,4245184.0,24.0,6517.0,967.0,2610.0,1453.0,1305710.0,997.0,18338.0,2266
17115800.0,5111737.0,24.0,6953.0,965.0,2726.0,2732.0,1268844.0,1128.0,21347.0,3792
20011691.0,5590125.0,24.0,6926.0,1037.0,2088.0,1315.0,1896689.0,1268.0,25008.0,6405
18659826.0,4748208.0,24.0,6870.0,1096.0,2030.0,879.0,1095372.0,944.0,18537.0,3598
15709632.0,4188978.0,24.0,6348.0,974.0,3074.0,2156.0,1295364.0,1054.0,20032.0,2774
17021398.0,4392307.0,24.0,6246.0,874.0,2813.0,2296.0,1164186.0,846.0,15404.0,2096
18797320.0,5869513.0,24.0,7650.0,865.0,2842.0,1632.0,1631002.0,1336.0,25805.0,2610
24185229.0,6930622.0,24.0,8171.0,1180.0,3132.0,2865.0,1481520.0,1260.0,23287.0,3083
19948026.0,5505405.0,24.0,7828.0,1210.0,2407.0,2191.0,1593648.0,1326.0,24999.0,2163
20118382.0,6185386.0,24.0,7545.0,1193.0,2697.0,1592.0,1610650.0,1154.0,21545.0,2573
17098148.0,4514143.0,24.0,6321.0,1041.0,2813.0,2551.0,1261066.0,1002.0,18946.0,3857
17752964.0,3959575.0,24.0,6693.0,874.0,2726.0,1425.0,1400455.0,1054.0,18949.0,6176
18935078.0,4622360.0,24.0,7473.0,927.0,1972.0,968.0,1419872.0,1167.0,21050.0,3019
18498186.0,5181618.0,32.0,6922.0,1069.0,2146.0,1048.0,1336856.0,1128.0,21726.0,2831
18170418.0,4601805.0,16.0,6962.0,1018.0,2610.0,2275.0,1721916.0,1146.0,21838.0,3718
19338208.0,5935273.0,24.0,7009.0,1024.0,2871.0,1953.0,1659794.0,1227.0,25067.0,2367
20552557.0,5580955.0,24.0,6448.0,1103.0,2320.0,1332.0,1558318.0,1340.0,28673.0,2923
18560388.0,5506409.0,24.0,6591.0,1127.0,2001.0,964.0,1881388.0,1295.0,26144.0,3136
18239458.0,5465603.0,24.0,6529.0,1101.0,2175.0,1171.0,1180626.0,1104.0,22456.0,3880
17542752.0,4602103.0,24.0,6292.0,974.0,3451.0,2962.0,1537292.0,1099.0,21879.0,3406
17739070.0,4201131.0,24.0,11278.0,987.0,3132.0,3545.0,1853542.0,1474.0,20361.0,2234
27283786.0,5293218.0,16.0,15148.0,1285.0,3393.0,2667.0,1705136.0,1563.0,20410.0,3020
19472678.0,5097657.0,24.0,14610.0,1502.0,2669.0,2068.0,1740770.0,1467.0,21494.0,2511
19210906.0,4983876.0,24.0,6734.0,1368.0,3248.0,4434.0,1519234.0,1195.0,22542.0,4704
18226774.0,5042360.0,24.0,6735.0,1030.0,2784.0,3692.0,1160954.0,1086.0,20554.0,2861
16760896.0,4015708.0,32.0,6485.0,954.0,3625.0,6525.0,1135288.0,999.0,17823.0,3241
17449319.0,4573212.0,24.0,7158.0,916.0,3132.0,3947.0,1369722.0,1279.0,23819.0,3387
21261442.0,5890845.0,24.0,8064.0,1072.0,2900.0,4308.0,1467616.0,1282.0,23191.0,3788
21138430.0,6204628.0,16.0,8273.0,1244.0,2668.0,1530.0,1695612.0,1514.0,27806.0,3322
